,0,standard_buses
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
78,9982.591333940003,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
79,11862.49736412,27.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
80,9982.591333940003,7.0
81,17182.08746544,4.0
81,17182.08746544,4.0
81,17182.08746544,4.0
81,17182.08746544,4.0
82,4883.030625319999,4.0
82,4883.030625319999,4.0
82,4883.030625319999,4.0
82,4883.030625319999,4.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
83,5829.87303738,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
84,16962.06543188,33.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
85,25119.627027800005,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
86,10354.71722522,8.0
87,320.29157882,3.0
87,320.29157882,3.0
87,320.29157882,3.0
88,8552.40137616,3.0
88,8552.40137616,3.0
88,8552.40137616,3.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
89,8675.76883244,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
90,320.29157882,11.0
91,2113.58787972,3.0
91,2113.58787972,3.0
91,2113.58787972,3.0
92,9146.26501376,3.0
92,9146.26501376,3.0
92,9146.26501376,3.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
93,508.727653946,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
94,8552.40137616,11.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
95,5695.578270759999,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
96,8384.237402600002,8.0
97,8384.237402600002,4.0
97,8384.237402600002,4.0
97,8384.237402600002,4.0
97,8384.237402600002,4.0
98,11500.65255456,4.0
98,11500.65255456,4.0
98,11500.65255456,4.0
98,11500.65255456,4.0
99,320.29157882,5.0
99,320.29157882,5.0
99,320.29157882,5.0
99,320.29157882,5.0
99,320.29157882,5.0
100,17182.08746544,5.0
100,17182.08746544,5.0
100,17182.08746544,5.0
100,17182.08746544,5.0
100,17182.08746544,5.0
101,8384.237402600002,5.0
101,8384.237402600002,5.0
101,8384.237402600002,5.0
101,8384.237402600002,5.0
101,8384.237402600002,5.0
102,8118.0258621,5.0
102,8118.0258621,5.0
102,8118.0258621,5.0
102,8118.0258621,5.0
102,8118.0258621,5.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
103,7715.06145922,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
104,15842.201919580002,9.0
105,8969.27528212,5.0
105,8969.27528212,5.0
105,8969.27528212,5.0
105,8969.27528212,5.0
105,8969.27528212,5.0
106,8552.40137616,5.0
106,8552.40137616,5.0
106,8552.40137616,5.0
106,8552.40137616,5.0
106,8552.40137616,5.0
107,4557.30432682,6.0
107,4557.30432682,6.0
107,4557.30432682,6.0
107,4557.30432682,6.0
107,4557.30432682,6.0
107,4557.30432682,6.0
108,6670.37681376,6.0
108,6670.37681376,6.0
108,6670.37681376,6.0
108,6670.37681376,6.0
108,6670.37681376,6.0
108,6670.37681376,6.0
109,8388.89678008,8.0
109,8388.89678008,8.0
109,8388.89678008,8.0
