route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses
CTA_1145,1145,CTA_1145_R,Tagneed (Hadabet Al Haram),Mazallat-Tagneed (Hadabet Al Haram),1,CTA,6965.0,Mazallat,29.609756714041943,3.0,14099.884149543781,5.0,5.0
CTA_1145,1145,CTA_1145_O,Mazallat,Tagneed (Hadabet Al Haram)-Mazallat,0,CTA,6965.0,Tagneed (Hadabet Al Haram),35.707466631059646,3.0,17003.55553859983,6.0,5.0
CTA_1146,1146,CTA_1146_R,Masaken Sheraton,Ibrahim Bek-Masaken Sheraton,1,CTA,5358.0,Ibrahim Bek,19.378387446889736,3.0,9227.80354613797,5.0,5.0
CTA_1146,1146,CTA_1146_O,Ibrahim Bek,Masaken Sheraton-Ibrahim Bek,0,CTA,5358.0,Masaken Sheraton,19.47050061353772,3.0,9271.666958827485,5.0,5.0
CTA_1150,1150,CTA_1150_R,15th of May,Giza Square-15th of May,1,CTA,6099.0,Giza Square,45.92391640628002,5.0,21868.531622038103,9.0,9.0
CTA_1150,1150,CTA_1150_O,Giza Square,15th of May-Giza Square,0,CTA,6099.0,15th of May,45.032418756224956,5.0,21444.008931535693,9.0,9.0
CTA_1151,1151,CTA_1151_O,Asmarrat,Abd Al Moneim Riad-Asmarrat,0,CTA,7307.0,Abd Al Moneim Riad,30.900759303957898,3.0,14714.647287598998,5.0,5.0
CTA_1151,1151,CTA_1151_R,Abd Al Moneim Riad,Asmarrat-Abd Al Moneim Riad,1,CTA,7307.0,Asmarrat,27.568053105376464,3.0,13127.644335893554,5.0,5.0
CTA_1153,1153,CTA_1153_R,Abd Al Moneim Riad,Helwan Public Club-Abd Al Moneim Riad,1,CTA,7350.0,Helwan Public Club,33.90073698813839,3.0,16143.20808958971,6.0,6.0
CTA_1153,1153,CTA_1153_O,Helwan Public Club,Abd Al Moneim Riad-Helwan Public Club,0,CTA,7350.0,Abd Al Moneim Riad,33.983366644413124,3.0,16182.55554495863,6.0,6.0
CTA_12,12,CTA_12_R,Abageyah,Giza Square-Abageyah,1,CTA,1546.0,Giza Square,10.472491196684084,3.0,4986.900569849564,8.0,8.0
CTA_122-1059,122-1059,CTA_122-1059_R,Masaken Zainhom,Amiriya-Masaken Zainhom,1,CTA,1972.0,Amiriya,15.900708586796414,3.0,7571.765993712578,10.0,9.0
CTA_122-1059,122-1059,CTA_122-1059_O,Amiriya,Masaken Zainhom-Amiriya,0,CTA,1972.0,Masaken Zainhom,14.96772673852654,3.0,7127.488923107876,9.0,9.0
CTA_124,124,CTA_124_O,Moneeb,Abd Al Moneim Riad-Moneeb,0,CTA,1893.0,Abd Al Moneim Riad,11.689490570257012,3.0,5566.424081074768,7.0,7.0
CTA_124,124,CTA_124_R,Abd Al Moneim Riad,Moneeb-Abd Al Moneim Riad,1,CTA,1893.0,Moneeb,13.478161022332964,3.0,6418.17191539665,9.0,7.0
CTA_134,134,CTA_134_R,Amr Ibn El Aas,Mazallat-Amr Ibn El Aas,1,CTA,7939.0,Mazallat,18.323099276016215,3.0,8725.285369531532,3.0,3.0
CTA_134,134,CTA_134_O,Mazallat,Amr Ibn El Aas-Mazallat,0,CTA,7939.0,Amr Ibn El Aas,16.695030679372014,3.0,7950.014609224769,3.0,3.0
CTA_15,15,CTA_15_O,Saft Al Laban,Abd Al Moneim Riad-Saft Al Laban,0,CTA,3633.0,Abd Al Moneim Riad,12.45895253607593,3.0,5932.834540988538,4.0,4.0
CTA_15,15,CTA_15_R,Abd Al Moneim Riad,Saft Al Laban-Abd Al Moneim Riad,1,CTA,3633.0,Saft Al Laban,11.74268156214409,3.0,5591.7531248305195,4.0,4.0
CTA_154,154,CTA_154_R,Abd Al Moneim Riad,Basateen-Abd Al Moneim Riad,1,CTA,3277.0,Basateen,13.333433537230803,3.0,6349.254065348001,5.0,5.0
CTA_154,154,CTA_154_O,Basateen,Abd Al Moneim Riad-Basateen,0,CTA,3277.0,Abd Al Moneim Riad,13.263424509682856,3.0,6315.916433182312,5.0,5.0
CTA_16,16,CTA_16_O,Masaken Al Wehda,Lebanon Square-Masaken Al Wehda,0,CTA,2378.0,Lebanon Square,20.422313855822534,3.0,9724.911359915492,10.0,10.0
CTA_16,16,CTA_16_R,Lebanon Square,Masaken Al Wehda-Lebanon Square,1,CTA,2378.0,Masaken Al Wehda,19.32885837042372,3.0,9204.218271630343,10.0,10.0
CTA_160,160,CTA_160_R,Abd Al Moneim Riad,Saqr Quraish-Abd Al Moneim Riad,1,CTA,8117.0,Saqr Quraish,16.120656389516434,3.0,7676.503042626873,3.0,3.0
