InputID,TargetID,Distance
Al Shorouq,El-Teraa El-,44072.0790111
Al Shorouq,El Mizalat,45454.3540057
Al Shorouq,El-Obour,46870.6373937
Al Shorouq,El Basatin,46921.7941582
Al Shorouq,Fom El-Khalig,49360.974348
Al Shorouq,Tiba,50088.656669
Al Shorouq,Athar an Naby,50763.924222
Al Shorouq,Imbaba,51033.3851661
Al Shorouq,Badr,53100.0890185
Al Shorouq,Helwan,53837.3442946
Al Shorouq,El-Mounib,55269.1845032
Al Shorouq,Giza,55370.330842
Rawda Mosque (Obour),Gesr Al Suez,19819.7460136
Rawda Mosque (Obour),Al Mataria,26267.6762581
Rawda Mosque (Obour),Al-Mostaqbal,26376.1357442
Rawda Mosque (Obour),Al Sawah,26631.0778523
Rawda Mosque (Obour),Al Amiriyyah,27151.146751
Rawda Mosque (Obour),Port Said,28819.7492567
Rawda Mosque (Obour),El-Teraa El-,30323.8679783
Rawda Mosque (Obour),Fateh,31567.9563793
Rawda Mosque (Obour),El Mizalat,31588.303642
Rawda Mosque (Obour),Nasr,31813.4152858
Rawda Mosque (Obour),Maadi,34563.0553442
Rawda Mosque (Obour),Katameya,34578.118357
Rawda Mosque (Obour),Cairo,35169.531219
Rawda Mosque (Obour),Al Amal,36461.822419
Rawda Mosque (Obour),Tiba,37054.1080704
Rawda Mosque (Obour),Imbaba,38033.4984174
Rawda Mosque (Obour),Fom El-Khalig,39581.8108883
Rawda Mosque (Obour),El Basatin,40001.0213847
Rawda Mosque (Obour),El-Obour,42386.2473622
Rawda Mosque (Obour),Athar an Naby,42824.0550793
Rawda Mosque (Obour),Badr,44692.6930043
Rawda Mosque (Obour),Giza,45134.4009201
Rawda Mosque (Obour),El-Mounib,46127.5515554
Rawda Mosque (Obour),Helwan,54897.5530529
Al Juman,Giza,22268.8612822
Al Juman,El-Mounib,23705.3148697
Al Juman,Imbaba,24899.7051675
Al Juman,Tiba,25854.8178415
Al Juman,Badr,26194.0913498
Al Juman,Fom El-Khalig,27657.2623605
Al Juman,Athar an Naby,28394.1198678
Al Juman,El Mizalat,30805.929559
Al Juman,El-Teraa El-,32185.8568455
Al Juman,El Basatin,32233.7981464
Al Juman,Port Said,33911.0802486
Al Juman,El-Obour,35393.7149207
Al Juman,Al Amiriyyah,35928.501625
Al Juman,Fateh,36177.4210526
Al Juman,Nasr,36201.8730766
Al Juman,Al Mataria,36753.8482662
Al Juman,Al Sawah,36803.8813522
Al Juman,Gesr Al Suez,43821.7101616
Al Juman,Al Amal,44481.9099697
Al Juman,Helwan,44592.2495196
Al Juman,Al-Mostaqbal,45728.7515202
Al Juman,Maadi,48265.8085992
Al Juman,Cairo,49150.1776942
Al Juman,Katameya,51448.3947619
Remaya Square 28,Giza,5896.92846891
Remaya Square 28,El-Mounib,6519.10170559
