route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses,InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
CTA_912-1048,912-1048,CTA_912-1048_O,Moneeb,7th District (Nasr City)-Moneeb,0,CTA,10208.0,7th District (Nasr City),26.8723760827967,3.0,12796.369563236522,3.0,3.0,7th District (Nasr City),20613.1802786,18251.30797656,16809.2864544,14377.34563402,25705.555233000006,30166.682081,26630.1159932,23890.232422,34246.0656532,23598.5407132,22256.3274232,5117.17081152,22436.2829322,23243.7394166,34391.0209394,52164.8883532,29328.245728,24424.809495,4883.03062532,20247.4457476
CTA_914,914,CTA_914_R,Dawaran Shubra,Abbasseya-Dawaran Shubra,1,CTA,8214.0,Abbasseya,18.882732766976076,3.0,8991.777508083846,3.0,3.0,Abbasseya,32655.365378,9073.03555992,9103.09006542,24759.3619488,24566.9949068,27779.4215602,39223.4026968,11310.47908132,30399.5476618,29482.5756306,9954.05356886,8039.42974144,17311.81945678,22321.460379,28639.314338800006,60155.7467128,18346.90286896,37022.0518098,8627.5884725,8869.11591488
CTA_914,914,CTA_914_O,Abbasseya,Dawaran Shubra-Abbasseya,0,CTA,8214.0,Dawaran Shubra,15.146212800184786,3.0,7212.482285802279,3.0,3.0,Dawaran Shubra,40004.9485938,12753.52824346,14162.9068275,33609.1104322,23880.1679026,25706.008951400006,47280.5330444,5796.87880466,26926.1433572,32903.736834599986,7045.35388964,15999.65818238,14964.18311414,28472.053811,23834.066339,63700.1610186,9972.76637714,45105.3211646,16430.77053542,9391.03032026
CTA_915,915,CTA_915_R,Darassa,Moassasa-Darassa,1,CTA,4261.0,Moassasa,20.788608639942947,3.0,9899.337447591875,6.0,6.0,Moassasa,48676.6716978,12355.47808676,14481.95912912,38277.1731048,34685.245565,36112.5791006,54934.232343,5297.3722575,36657.713555,43666.2443834,6111.90339696,24063.9489366,25640.369320200003,26486.3373692,32810.5914672,74522.6663888,15839.79863052,52723.7605552,24660.0880762,8640.00370882
CTA_915,915,CTA_915_O,Moassasa,Darassa-Moassasa,0,CTA,4261.0,Darassa,19.52652191972384,3.0,9298.343771297066,6.0,6.0,Darassa,30339.364455000006,16192.91093504,16316.50954054,27406.5073834,17357.6700844,20698.774945,38142.728481,15115.18244572,23639.5100406,23369.4509094,14959.21465022,8304.3861607,10628.38548776,29091.1099118,22492.8742462,54242.252996,16404.0202603,36020.1642332,8393.83444012,15165.29377818
CTA_916,916,CTA_916_R,Amiriya,Moneeb-Amiriya,1,CTA,3844.0,Moneeb,26.53608909295755,3.0,12636.232901408357,8.0,8.0,Moneeb,36602.9478002,36737.333846,37163.01469,43985.5003558,4706.54070732,603.670463076,46065.91915440001,31873.7202648,5320.04651692,18138.56151146,33144.5291648,27057.7024704,11299.51211734,50029.417353,9419.27232604,43267.23616640001,23033.4341258,44464.47763380001,26702.3309244,34721.8799728
CTA_916,916,CTA_916_O,Moneeb,Amiriya-Moneeb,0,CTA,3844.0,Amiriya,27.30427964744465,3.0,13002.037927354593,8.0,8.0,Amiriya,39461.8122704,954.947684194,3077.00788132,27043.3923334,33267.715608,36082.0846076,44758.829668,9519.5339626,38122.802521,38493.7924576,6751.618190000001,15716.75027728,25289.2442748,16650.84832892,35578.349877,69014.2517384,21646.9139732,42555.6121126,16399.53177416,3237.54421766
CTA_917,917,CTA_917_O,Attaba,Qalyoub-Attaba,0,CTA,1017.0,Qalyoub,20.486438483471648,3.0,9755.446896891262,23.0,23.0,Qalyoub,66285.8642538,28435.5214796,30413.867681400006,54392.7184522,50095.41166780001,50467.1350968,72234.0796018,22758.5273558,49708.8694998,60679.1606772,23733.344087,41698.1563692,41060.5577002,38308.75306040001,44954.979334400006,91359.203257,28049.7405614,70024.4628734,42305.31388440001,25630.4358842
CTA_917,917,CTA_917_R,Qalyoub,Attaba-Qalyoub,1,CTA,1017.0,Attaba,21.65219237717733,3.0,10310.567798655871,24.0,23.0,Attaba,34511.697608800016,17288.23908322,17948.97745304,31821.0299886,16721.6888519,19151.62111138,42536.9015672,13235.44307628,21253.7930914,25526.2489486,13914.05075856,12763.78679892,8327.3343983,31662.0126298,19273.81255288,56249.882807,11927.7070081,40433.951638,12905.97519264,15171.93091102
CTA_92-1050,92-1050,CTA_92-1050_R,Hegaz Square,Imbaba-Hegaz Square,1,CTA,5233.0,Imbaba,24.93713726206901,3.0,11874.827267651912,6.0,6.0,Imbaba,44528.2348526,18663.80934736,20273.0231032,39756.4880068,23418.2588514,24044.4502634,52333.5705682,9277.84474616,24085.930348,34808.7752186,11721.62928968,21515.0223696,14405.59065966,34510.2910686,20095.3109122,65044.14703759999,3745.09151178,50196.9963482,21844.8638278,14862.254772100001
CTA_92-1050,92-1050,CTA_92-1050_O,Imbaba,Hegaz Square-Imbaba,0,CTA,5233.0,Hegaz Square,26.89719313662929,3.0,12808.18720791871,6.0,6.0,Hegaz Square,35848.503474,11639.18596976,9746.40358292,18329.10078734,40393.9962818,44112.9287652,38644.4467676,22057.8163566,47118.666968,41298.3349404,19298.341438,18196.40375474,34045.0975628,5692.92886228,45536.2649694,69875.179242,33631.2698986,36572.383618,18761.91687078,15784.50946308
CTA_921-1133,921-1133,CTA_921-1133_R,Masaken Al Wehda,Bulaq Al Dakrur-Masaken Al Wehda,1,CTA,6197.0,Bulaq Al Dakrur,17.760258533183944,3.0,8457.26596818283,4.0,4.0,Bulaq Al Dakrur,44286.3315836,27963.2995914,29187.0258972,44469.5401348,16228.46881768,15101.289027899998,53091.354288,19810.13166062,13870.98092776,30166.3025728,21954.848727,25369.0099604,9520.37197112,43431.3793888,9402.54128166,58481.5668464,7996.74225042,51118.728172,25413.6985534,24662.3335972
CTA_921-1133,921-1133,CTA_921-1133_O,Bulaq Al Dakrur,Masaken Al Wehda-Bulaq Al Dakrur,0,CTA,6197.0,Masaken Al Wehda,17.75376798871841,3.0,8454.175232723052,4.0,4.0,Masaken Al Wehda,45794.9104042,8640.97912454,10766.2122617,34670.2872844,34209.555864,36110.84745,51738.2354534,4858.82902476,37160.676322199986,42062.8862708,3745.5577228,21282.9491648,25364.7003418,22939.0746122,33711.2424134,72927.58806719999,17491.59827908,49527.4459698,21913.215071,5146.93666556
CTA_922,922,CTA_922_R,Saqr Quraish,Abbasseya-Saqr Quraish,1,CTA,12641.0,Abbasseya,19.041342647017704,3.0,9067.306022389384,2.0,2.0,Abbasseya,32655.365378,9073.03555992,9103.09006542,24759.3619488,24566.9949068,27779.4215602,39223.4026968,11310.47908132,30399.5476618,29482.5756306,9954.05356886,8039.42974144,17311.81945678,22321.460379,28639.314338800006,60155.7467128,18346.90286896,37022.0518098,8627.5884725,8869.11591488
CTA_922,922,CTA_922_O,Abbasseya,Saqr Quraish-Abbasseya,0,CTA,12641.0,Saqr Quraish,19.327339743551708,3.0,9203.495115977004,2.0,2.0,Saqr Quraish,19833.33943062,31120.859702599995,30550.3054596,28818.673917400003,12470.33803344,17159.31826062,29223.3614124,31430.7354456,22108.6644326,7180.59016926,31261.857655,16615.10262666,16054.87675832,40139.2936822,24631.8346032,37949.9587982,29317.058703400005,27552.145105400006,15976.947180899999,31068.2405206
CTA_925,925,CTA_925_R,Dawaran Shubra,Cairo Airport-Dawaran Shubra,1,CTA,1916.0,Cairo Airport,28.722430517952514,3.0,13677.347865691672,17.0,17.0,Cairo Airport,37726.555214,23322.0411004,21461.0900438,17327.340552200007,49905.6006228,54007.2015012,37586.6090028,33735.3872696,57458.9745546,48076.40302219999,30966.7541324,27175.1897554,44559.6942308,8675.76883244,56371.26529380001,74053.62691939999,45292.7323344,35856.561548000005,27577.292323,27453.482739
